Date,Time,Session,Head_Falling,Lunging_Front_Foot,Wide_Backlift,Weight_Back,Elbow_Drop,Total_Weaknesses
2026-05-18,04:52:30,1,1,0,1,1,1,4
2026-05-18,04:52:35,1,1,0,1,1,1,4
2026-05-18,04:52:40,1,1,0,1,1,1,4
2026-05-18,04:52:45,1,1,0,1,1,1,4
2026-05-18,04:52:50,1,1,0,1,1,1,4
2026-05-18,04:52:55,1,1,0,1,1,1,4
2026-05-18,04:53:00,1,1,0,1,1,1,4
2026-05-18,04:53:05,1,1,0,1,1,1,4
2026-05-18,04:53:10,1,1,0,1,1,1,4
2026-05-19,03:45:56,1,0,1,0,1,1,3
2026-05-19,03:48:00,1,0,1,0,1,1,3
2026-05-19,03:49:18,2,0,1,0,1,1,3
